ID,Parity,Lactation_stage,Pregnancy_status,Breed,Claw_health,Time_in_area,Lactation_group
1,2,Late,1,RDC,0,0.381810145219661,Late
2,3+,Late,0,CROSS,1,0.490830897687873,Late
3,1,Late,1,HOL,1,0.374915452617915,Late
4,3+,Mid,1,RDC,1,0.328225118330811,Late
5,1,Late,1,HOL,1,0.486295551717303,Late
6,2,Late,1,HOL,0,0.39542180615155,Late
7,3+,Late,1,CROSS,1,0.445064633352701,Late
8,1,Late,1,CROSS,1,0.449679499009584,Late
9,2,Late,1,CROSS,0,0.463613073372893,Late
10,2,Late,1,RDC,0,0.477871933128805,Late
11,3+,Late,1,HOL,0,0.320133955533147,Late
12,2,Late,1,CROSS,0,0.423907711942686,Late
13,2,Late,1,HOL,0,0.311302019523377,Late
14,3+,Late,1,CROSS,0,0.46860944960028,Late
15,1,Mid,1,HOL,1,0.522047629646116,Late
16,3+,Mid,0,RDC,0,0.419971018912579,Late
17,3+,Late,1,RDC,0,0.539837738563681,Late
18,1,Late,1,HOL,0,0.480995035736314,Late
19,3+,Late,1,HOL,1,0.339488873572572,Late
20,2,Late,0,HOL,0,0.239454926585727,Late
21,3+,Late,0,CROSS,1,0.243750504710949,Late
22,1,Late,0,CROSS,0,0.464727526032829,Late
23,2,Late,1,CROSS,0,0.343177810082464,Late
24,2,Late,1,CROSS,0,0.379326880432854,Late
25,1,Mid,1,CROSS,0,0.44918966315218,Late
26,3+,Late,1,HOL,1,0.295096041057103,Late
27,2,Late,1,CROSS,0,0.372057483247288,Late
28,2,Late,1,CROSS,1,0.363506132124085,Late
29,1,Late,1,HOL,0,0.489599789482281,Late
30,2,Late,1,CROSS,0,0.225156300164282,Late
31,2,Late,0,CROSS,1,0.428196014195506,Late
32,3+,Late,1,HOL,1,0.37357077544466,Late
33,3+,Late,1,CROSS,1,0.348468562113892,Late
34,3+,Late,1,CROSS,0,0.397232014476268,Late
35,3+,Mid,0,CROSS,1,0.385587222485049,Late
36,2,Mid,1,CROSS,0,0.489465720186677,Late
37,1,Late,1,CROSS,0,0.355676441000037,Late
38,2,Late,1,CROSS,0,0.335287122666902,Late
39,1,Mid,1,RDC,0,0.499433981681589,Late
40,3+,Late,0,CROSS,0,0.434439309492292,Late
41,1,Mid,1,RDC,1,0.475685211922923,Late
42,3+,Mid,0,RDC,0,0.353675228583786,Late
43,2,Mid,1,CROSS,0,0.343620259529648,Late
44,1,Late,1,RDC,0,0.36688926052161,Late
45,2,Late,0,CROSS,0,0.441568749069111,Late
46,2,Late,1,RDC,0,0.370628887353144,Late
47,2,Late,1,RDC,0,0.380393445366318,Late
48,2,Late,1,CROSS,0,0.484470956240711,Late
49,1,Late,1,RDC,0,0.374987171041378,Late
50,3+,Late,1,RDC,0,0.255969357211351,Late
51,3+,Late,1,CROSS,1,0.562895567048702,Late
52,1,Mid,1,HOL,0,0.392788840139498,Late
53,1,Late,1,CROSS,1,0.472340720047315,Late
54,2,Late,1,CROSS,0,0.352680920288612,Late
55,1,Mid,1,HOL,1,0.473640595589915,Late
56,2,Late,1,RDC,0,0.48962732214509,Late
57,3+,Late,1,CROSS,0,0.364439474695329,Late
58,1,Late,1,HOL,0,0.403586872227019,Late
59,2,Late,1,HOL,0,0.445758010971676,Late
60,3+,Mid,0,RDC,0,0.370935008289934,Late
61,3+,Late,0,CROSS,1,0.358841322080702,Late
62,3+,Late,0,RDC,0,0.308362976505474,Late
63,1,Late,1,RDC,0,0.519316120092237,Late
64,1,Mid,1,RDC,1,0.436640431688871,Late
65,2,Late,1,HOL,1,0.428249500323681,Late
66,3+,Late,1,RDC,0,0.30600978586875,Late
67,2,Late,1,CROSS,1,0.462470272550234,Late
68,1,Late,1,HOL,0,0.491781002060229,Late
69,1,Late,1,CROSS,0,0.461864179859073,Late
70,3+,Mid,0,RDC,0,0.373343081053844,Late
71,3+,Late,1,CROSS,0,0.384416611907945,Late
72,3+,Late,1,CROSS,0,0.467017343268106,Late
73,2,Late,0,RDC,0,0.290123709723969,Late
74,2,Late,0,CROSS,0,0.419092761177593,Late
75,3+,Late,1,HOL,1,0.369697760099116,Late
76,3+,Mid,1,RDC,0,0.396738625801098,Late
